CMDLINE C:\Python27\python.exe NewsService.py ..\news.xml
MEM 0.609375 1513817001.3790
MEM 9.890625 1513817001.4910
MEM 12.785156 1513817001.5980
MEM 15.199219 1513817001.7080
MEM 16.246094 1513817001.8150
MEM 16.648438 1513817001.9230
MEM 16.695312 1513817002.0300
MEM 16.699219 1513817002.1400
MEM 16.699219 1513817002.2470
MEM 16.699219 1513817002.3560
MEM 16.699219 1513817002.4630
MEM 16.699219 1513817002.5760
MEM 16.699219 1513817002.7000
MEM 17.156250 1513817002.8170
MEM 19.925781 1513817002.9280
MEM 22.660156 1513817003.0380
MEM 26.191406 1513817003.1470
MEM 26.613281 1513817003.2560
CHLD 0 9.511719 1513817003.2660
MEM 26.613281 1513817003.3660
CHLD 0 12.117188 1513817003.3760
MEM 26.613281 1513817003.4760
CHLD 0 15.023438 1513817003.4830
MEM 26.613281 1513817003.5830
CHLD 0 16.148438 1513817003.5910
MEM 26.613281 1513817003.6910
CHLD 0 16.734375 1513817003.7010
MEM 26.613281 1513817003.8010
CHLD 0 16.804688 1513817003.8100
MEM 26.613281 1513817003.9100
CHLD 0 16.898438 1513817003.9200
MEM 26.613281 1513817004.0200
CHLD 0 16.898438 1513817004.0300
MEM 26.613281 1513817004.1300
CHLD 0 16.898438 1513817004.1390
MEM 26.613281 1513817004.2390
CHLD 0 16.898438 1513817004.2480
MEM 26.613281 1513817004.3490
CHLD 0 16.898438 1513817004.3590
MEM 26.613281 1513817004.4600
CHLD 0 17.000000 1513817004.4670
MEM 26.613281 1513817004.5670
CHLD 0 20.292969 1513817004.5770
MEM 26.613281 1513817004.6770
CHLD 0 21.250000 1513817004.6850
MEM 26.613281 1513817004.7850
CHLD 0 26.308594 1513817004.7940
MEM 26.929688 1513817004.8940
CHLD 0 26.585938 1513817004.9070
CHLD 1 8.027344 1513817004.9070
MEM 26.929688 1513817005.0070
CHLD 0 26.585938 1513817005.0170
CHLD 1 10.070312 1513817005.0170
MEM 26.929688 1513817005.1170
CHLD 0 26.585938 1513817005.1300
CHLD 1 12.105469 1513817005.1300
