TIME,MEMORY
09:28:47,12853440
09:28:49,12853440
09:28:51,12853440
09:28:53,12853440
09:28:55,12853440
09:28:57,12853440
09:28:59,12853440
09:29:01,12853440
09:29:03,12853440
09:29:06,12853440
09:29:08,12853440
09:29:10,12853440
09:29:12,12853440
09:29:14,12853440
09:29:16,12853440
09:29:18,12853440
09:29:56,12853440
09:29:58,12853440
09:30:00,12853440
09:30:02,12853440
09:30:04,12853440
09:30:06,12853440
09:30:08,12853440
09:30:10,12853440
09:30:12,12853440
09:30:14,12853440
09:30:16,12853440
09:30:18,12853440
09:30:20,12853440
09:30:22,12853440
09:30:24,12853440
09:30:26,12853440
09:30:28,12853440
09:30:30,12853504
09:30:32,12853504
09:30:34,12853504
09:30:36,12853504
09:30:38,12853504
09:30:40,12853504
09:30:42,12853504
09:30:44,12853504
09:30:47,12853504
09:30:50,12853504
09:30:53,12853504
09:30:56,12853504
09:30:59,12853504
09:31:02,12853504
09:31:05,12853504
09:31:08,12853504
09:31:10,12853504
09:31:12,12853504
09:31:14,12853504
09:31:16,12853504
09:31:18,12853504
09:31:20,12853504
09:31:22,12853504
09:31:24,12853504
09:31:26,12853504
09:31:28,12853504
09:31:30,12853504
09:31:32,12853632
09:31:34,12853632
09:31:36,12853632
09:31:38,12853632
09:31:40,12853632
09:31:42,12853632
09:31:44,12853632
09:31:46,12853632
09:31:48,12853632
09:31:50,12853632
09:31:52,12853632
09:31:54,12853632
09:31:56,12853632
09:31:58,12853632
09:32:00,12853632
09:32:02,12853632
09:32:04,12853632
09:32:06,12853632
09:32:08,12853632
09:32:10,12853632
09:32:12,12853632
09:32:14,12853632
09:32:16,12853632
09:32:18,12853632
09:32:20,12853632
09:32:22,12853632
09:32:24,12853632
09:32:26,12853632
09:32:28,12853632
09:32:30,12853632
09:32:32,12853632
09:32:35,12853632
09:32:38,12853632
09:32:41,12853632
09:32:44,12853632
09:32:47,12853632
09:32:50,12853632
09:32:53,12853632
09:32:56,12853632
09:32:59,12853632
09:33:02,12853632
09:33:05,12853632
09:33:07,12853632
09:33:09,12853632
09:33:11,12853632
09:33:13,12853632
09:33:15,12853632
09:33:17,12853632
09:33:19,12853632
09:33:21,12853632
09:33:23,12853632
09:33:25,12853632
09:33:27,12853632
09:33:29,12853632
09:33:31,12853632
09:33:33,12853632
09:33:35,12853632
09:33:37,12853632
09:33:39,12853632
09:33:41,12853632
09:33:43,12853632
09:33:45,12853632
09:33:47,13386880
09:33:49,12853632
09:33:51,12853632
09:33:53,13394176
09:33:55,12853632
09:33:57,12853632
09:33:59,12853632
09:34:01,12853632
09:34:03,12853632
09:34:05,12853632
09:34:07,12853632
09:34:09,12853632
09:34:11,12853632
09:34:13,12853632
09:34:15,12853632
09:34:17,12853376
09:34:19,12853376
09:34:21,12853376
09:34:23,12853376
09:34:25,12853376
09:34:27,12853376
09:34:29,12853376
09:34:31,12853376
09:34:33,12853376
09:34:35,12853376
09:34:37,12853376
09:34:39,12853376
09:34:41,12853376
09:34:43,12853376
09:34:45,12853376
09:34:47,12853376
09:34:49,12853376
09:34:51,12853376
09:34:53,12853376
09:34:55,12853376
09:34:58,12853376
09:35:00,12853376
09:35:02,12853376
09:35:04,12853376
09:35:06,12853376
09:35:08,12884480
09:35:10,12942848
09:35:12,13001216
09:35:14,13044224
09:35:16,13044224
09:35:18,13044224
09:35:20,13044224
09:35:22,13044224
09:35:24,13043200
09:35:26,13043200
09:35:28,13043200
09:35:30,13043200
09:35:32,13043200
09:35:34,13057728
09:35:36,13058752
09:35:38,13058752
09:35:40,13058752
09:35:42,13058752
09:35:44,13064896
09:35:46,13097664
09:35:48,13129408
09:35:50,13055488
09:35:52,13081088
09:35:54,13103616
09:35:56,13126144
09:35:58,13147648
09:36:00,13170176
09:36:02,13188608
09:36:04,13188608
09:36:06,13188608
09:36:08,13188608
09:36:10,13188608
09:36:12,13188608
09:36:14,13188608
09:36:16,13040000
09:36:18,13040000
09:36:20,13040000
09:36:22,13040000
09:36:24,13040000
09:36:26,13040000
09:36:28,13040000
09:36:30,13040000
09:36:32,13039936
09:36:34,13039936
09:36:36,13039936
09:36:38,13039936
09:36:40,12854208
09:36:42,12865792
09:36:44,12875776
09:36:46,12911040
09:36:48,12911040
09:36:50,12854208
09:36:52,12854080
09:36:54,12854080
09:36:56,12854080
09:36:58,12854080
09:37:00,12854080
09:37:02,12854080
09:37:04,12854080
09:37:06,12854080
09:37:08,12854080
09:37:10,12854080
09:37:12,12854080
09:37:14,12854080
09:37:16,12854080
09:37:18,12854080
09:37:20,12854080
09:37:22,12854080
09:37:24,12854080
09:37:26,12854080
09:37:28,12854080
09:37:30,12854080
09:37:32,12854080
09:37:34,12854080
09:37:36,12854080
09:37:38,12854080
09:37:40,12854080
09:37:42,12854080
09:37:44,12854080
09:37:46,12854080
09:37:48,12854080
09:37:50,12854080
09:37:52,12854080
09:37:54,12854080
09:37:56,12854080
09:37:58,12854080
09:38:00,12854080
09:38:02,12854080
09:38:04,12854080
09:38:06,12854080
09:38:08,12854080
09:38:10,12854080
09:38:12,12854080
09:38:14,12854080
09:38:16,12854080
09:38:18,12854080
09:38:20,12854080
09:38:22,12854080
09:38:24,12854080
09:38:26,12854080
09:38:28,12854080
09:38:30,12854080
09:38:32,12854080
09:38:34,12854080
09:38:36,12854080
09:38:38,12854080
09:38:40,12854080
09:38:42,12854080
09:38:44,12854080
09:38:46,12854080
09:38:48,12854080
09:38:50,12854080
09:38:52,12854080
09:38:54,12854080
09:38:56,12854080
09:38:58,12854080
09:39:01,12854080
09:39:02,12854080
09:39:04,12854080
09:39:07,12854080
09:39:09,12854080
09:39:11,12854080
