TIME,APPLICATION,SHAREDSORT,LOCKLIST,PACKAGECACHE,PRIVATE
15:53:25,2304,2304,48256,2176,29184
15:53:27,2304,2304,48256,2176,29184
15:53:29,2304,2560,48256,2176,29184
15:53:31,2304,2304,48256,2176,29184
15:53:33,2304,2560,48256,2176,29184
15:53:35,2304,2560,48256,2176,29184
15:53:37,2304,2560,48256,2176,29184
15:53:39,2304,2560,48256,2176,29184
15:53:41,2304,2304,48256,2176,29184
15:53:43,2304,2304,48256,2176,29184
15:53:45,2304,2560,48256,2176,29184
15:53:47,2304,2560,48256,2176,29184
15:53:49,2304,2560,48256,2176,29184
15:53:51,2304,2304,48256,2176,29184
15:53:53,2304,2304,48256,2176,29184
15:53:55,2304,2560,48256,2176,29184
15:53:57,2304,2560,48256,2176,29184
15:53:59,2304,2560,48256,2176,29184
15:54:01,2304,2304,48256,2176,29184
15:54:03,2304,2304,48256,2176,29184
15:54:05,2304,2560,48256,2176,29184
15:54:07,2304,2560,48256,2176,29184
15:54:09,2304,2560,48256,2176,29184
15:54:33,2304,2304,48256,2176,29184
15:54:43,2304,2304,48256,2176,29184
15:54:53,2304,2304,48256,2176,29184
15:55:03,2304,2304,48256,2176,29184
15:55:13,2304,2304,48256,2176,29184
15:55:23,2304,2304,48256,2176,29184
15:55:33,2304,2304,48256,2176,29184
15:55:43,146752,855168,48256,2240,29376
15:55:53,193216,934016,48256,2240,29376
15:56:03,179584,927872,48256,2240,29376
15:56:13,181120,926848,48256,2240,29376
15:56:23,193728,945280,48256,2240,29376
15:56:33,212864,978048,48256,2240,29376
15:56:43,204864,974976,48256,2368,29568
15:56:53,213824,984192,48256,2368,29568
15:57:03,214144,990336,48256,2368,29568
15:57:13,210624,978048,48256,2368,29568
15:57:23,184384,818368,48256,2368,29568
15:57:33,193408,915520,48256,2368,29568
15:57:43,194624,915520,48256,2368,29568
15:57:53,194624,915520,48256,2368,29568
15:58:03,194624,915520,48256,2368,29568
15:58:13,195776,917568,48256,2368,29568
15:58:23,195776,917568,48256,2368,29568
15:58:33,195776,917568,48256,2368,29568
15:58:43,196288,918592,48256,2368,29568
15:58:53,196800,918592,48256,2368,29568
15:59:03,199616,978176,48256,2368,29568
15:59:13,199680,919616,48256,2368,29568
15:59:23,199744,919616,48256,2368,29568
15:59:33,199744,919616,48256,2368,29568
15:59:43,200960,905152,48256,2368,29568
15:59:53,201024,920640,48256,2368,29568
16:00:03,201088,920640,48256,2368,29568
16:00:13,201152,921664,48256,2368,29568
16:00:23,2304,2304,48256,2368,29376
16:00:33,2304,2304,48256,2368,29376
16:00:43,2304,2304,48256,2368,29376
16:00:53,2304,2304,48256,2368,29376
16:01:03,166656,884416,48256,2432,29376
16:01:13,174912,928448,48256,2432,29376
16:01:23,179328,931520,48256,2432,29376
16:01:33,171072,925376,48256,2432,29376
16:01:43,179264,945856,48256,2496,29760
16:01:53,173184,948928,48256,2496,29760
16:02:03,189120,969408,48256,2496,29760
16:02:13,192640,985792,48256,2496,29760
16:02:23,177920,959168,48256,2496,29760
16:02:33,172800,842496,48256,2496,29760
16:02:43,183424,941696,48256,2496,29760
16:02:53,187968,940672,48256,2560,29568
16:03:04,189760,940672,48256,2560,29568
16:03:14,189760,940672,48256,2560,29568
16:03:24,190272,866752,48256,2560,29568
16:03:34,190272,941696,48256,2560,29568
16:03:44,190784,941696,48256,2560,29568
16:03:54,190784,942720,48256,2560,29568
16:04:04,190784,942720,48256,2560,29568
16:04:14,191552,942720,48256,2560,29568
16:04:24,191552,942720,48256,2560,29568
16:04:34,191808,942720,48256,2560,29568
16:04:44,191808,942720,48256,2560,29568
16:04:54,193344,944768,48256,2560,29568
16:05:04,193344,944768,48256,2560,29568
16:05:14,193600,944768,48256,2560,29568
16:05:24,193856,944768,48256,2560,29568
16:05:34,197696,945536,48256,2560,29568
16:05:44,197824,943488,48256,2560,29568
16:05:54,198144,944512,48256,2560,29568
16:06:04,198464,943488,48256,2560,29568
16:06:14,201024,945408,48256,2560,29568
16:06:24,201536,946432,48256,2560,29568
16:06:34,202048,947456,48256,2560,29376
16:06:44,202304,947456,48256,2560,29376
16:06:54,204736,947584,48256,2560,29376
16:07:04,204992,947584,48256,2560,29376
16:07:14,205952,947584,48256,2560,29376
16:07:24,207808,949504,48256,2560,29376
16:07:34,208000,949504,48256,2560,29376
16:07:44,208448,949504,48256,2560,29376
16:07:54,208896,949504,48256,2560,29376
16:08:04,219008,928768,48256,2560,29376
16:08:14,222272,937984,48256,2560,29760
16:08:24,223040,937984,48256,2560,29760
16:08:34,257920,1170240,48256,2560,29760
16:08:44,258496,1234112,48256,2560,29760
16:08:54,258560,1234112,48256,2560,29760
16:09:04,258816,1234112,48256,2560,29760
16:09:14,258944,1233472,48256,2560,29760
16:09:24,259200,1222848,48256,2560,29760
16:09:34,259520,1221824,48256,2560,29760
16:09:44,260608,1226816,48256,2560,29760
16:09:54,261120,1215680,48256,2560,29760
16:10:04,261248,1218752,48256,2560,29760
16:10:14,261632,1215424,48256,2560,29760
16:10:24,262208,1220672,48256,2560,29760
16:10:34,262784,1211520,48256,2560,29760
16:10:44,263808,1210752,48256,2560,29760
16:10:54,264384,1218048,48256,2560,29760
16:11:04,265408,1207680,48256,2560,29760
16:11:14,291712,1217536,48256,2560,29760
16:11:24,345728,1170048,48256,2560,29760
16:11:34,346688,1177856,48256,2560,29568
16:11:44,350784,1186944,48256,2560,29568
16:11:54,349120,1164544,48256,2560,29568
16:12:04,348992,1168512,48256,2560,29568
16:12:14,352384,1173312,48256,2560,29568
16:12:24,352128,1182016,48256,2560,29568
16:12:34,352896,1323328,48256,2560,29568
16:12:44,353536,1188672,48256,2560,29568
16:12:54,354752,1243904,48256,2560,29568
16:13:04,355328,1189504,48256,2560,29568
16:13:14,355776,1186304,48256,2560,29568
16:13:24,358976,1201024,48256,2560,29568
16:13:34,359552,1200128,48256,2560,29568
16:13:44,359104,1208960,48256,2560,29568
16:13:54,359744,1187968,48256,2560,29568
16:14:04,359872,1186432,48256,2560,29568
16:14:14,359296,1194688,48256,2560,29568
16:14:24,362048,1207360,48256,2560,29568
16:14:34,361408,1198016,48256,2560,29568
16:14:44,364992,1200576,48256,2560,29568
16:14:54,365824,1213504,48256,2560,29568
16:15:04,367232,1198464,48256,2560,29568
16:15:14,366656,1202176,48256,2560,29568
16:15:24,371136,1183616,48256,2560,29568
16:15:34,371648,1197568,48256,2560,29568
16:15:44,371968,1206016,48256,2560,29568
16:15:54,374592,1187072,48256,2560,29568
16:16:04,375808,1214336,48256,2560,29568
16:16:14,377344,1205248,48256,2560,29568
16:16:24,377856,1213056,48256,2560,29568
16:16:34,378176,1372352,48256,2560,29376
16:16:44,381120,1230336,48256,2560,29376
16:16:54,381632,1208320,48256,2560,29376
16:17:04,384256,1217472,48256,2560,29376
16:17:14,383872,1215424,48256,2560,29376
16:17:24,384576,1217408,48256,2560,29376
16:17:34,384576,1223744,48256,2560,29376
16:17:44,384512,1214784,48256,2560,29376
16:17:54,387328,1226112,48256,2560,29376
16:18:04,387648,1225088,48256,2560,29376
16:18:14,388928,1202368,48256,2560,29376
16:18:24,388928,1216320,48256,2560,29376
16:18:34,389632,1217792,48256,2560,29376
16:18:44,390336,1219840,48256,2560,29376
16:18:54,390336,1213056,48256,2560,29376
16:19:04,392320,1220160,48256,2560,29376
16:19:14,392832,1222592,48256,2560,29376
16:19:24,394944,1216512,48256,2560,29376
16:19:34,395648,1222144,48256,2560,29376
16:19:44,397760,1224832,48256,2560,29376
16:19:54,398464,1219328,48256,2560,29376
16:20:04,398464,1223424,48256,2560,29376
16:20:14,400704,1218752,48256,2560,29376
16:20:24,402112,1233600,48256,2560,29376
16:20:34,402816,1255360,48256,2560,29376
16:20:44,404224,1225920,48256,2560,29376
16:20:54,404928,1235776,48256,2560,29376
16:21:04,405824,1227392,48256,2560,29376
16:21:14,405568,1224448,48256,2560,29376
16:21:24,406976,1221568,48256,2560,29376
16:21:34,408384,1227200,48256,2560,29376
16:21:44,408384,1313728,48256,2560,29376
16:21:54,411136,1237120,48256,2560,29376
16:22:04,412544,1232768,48256,2560,29376
16:22:14,412544,1223808,48256,2560,29376
16:22:24,413248,1234048,48256,2560,29376
16:22:34,414528,1226624,48256,2560,29376
16:22:44,414528,1231616,48256,2560,29376
16:22:54,415936,1217408,48256,2560,29376
16:23:04,416640,1236480,48256,2560,29376
16:23:14,416640,1238144,48256,2560,29376
16:23:24,418752,1230016,48256,2560,29376
16:23:34,418752,1242560,48256,2560,29376
16:23:44,419456,1233152,48256,2560,29376
16:23:54,419456,1230976,48256,2560,29376
16:24:04,420160,1224000,48256,2560,29376
16:24:14,420160,1227072,48256,2560,29376
16:24:24,420160,1222720,48256,2560,29376
16:24:35,421568,1229760,48256,2560,29376
16:24:45,422272,1207680,48256,2560,29376
16:24:55,422272,1223296,48256,2560,29376
16:25:05,423680,1217024,48256,2560,29376
16:25:15,425088,1227392,48256,2560,29376
16:25:25,425088,1222912,48256,2560,29376
16:25:35,427200,1219008,48256,2560,29376
16:25:45,427200,1227072,48256,2560,29376
16:25:55,427200,1221952,48256,2560,29376
16:26:05,429312,1229120,48256,2560,29376
16:26:15,557824,1263360,48256,2560,29376
16:26:25,522752,1055744,48256,2560,29376
16:26:35,475776,737600,48256,2560,29376
16:26:45,475776,737600,48256,2560,29376
16:26:55,475776,737600,48256,2560,29376
16:27:05,475776,737600,48256,2560,29376
16:27:15,475776,737600,48256,2560,29376
16:27:25,475776,737600,48256,2560,29376
16:27:35,475776,737600,48256,2560,29376
16:27:45,475776,737600,48256,2560,29376
16:27:55,475776,737600,48256,2560,29376
16:28:05,475776,737600,48256,2560,29376
16:28:15,475776,737600,48256,2560,29376
16:28:25,475776,737600,48256,2560,29376
16:28:35,475776,737600,48256,2560,29376
16:28:45,475776,737600,48256,2560,29376
16:28:55,475776,737600,48256,2560,29376
16:29:05,475776,737600,48256,2560,29376
16:29:15,475776,737600,48256,2560,29376
16:29:25,475776,737600,48256,2560,29376
16:29:35,475776,737600,48256,2560,29376
16:29:45,475776,737600,48256,2560,29376
16:29:55,475776,737600,48256,2560,29376
16:30:05,475776,737600,48256,2560,29376
16:30:15,475776,737600,48256,2560,29376
16:30:25,475776,737600,48256,2560,29376
16:30:35,475776,737600,48256,2560,29376
16:30:45,475776,737600,48256,2560,29376
16:30:55,475776,737600,48256,2560,29376
16:31:05,475776,737600,48256,2560,29376
16:31:15,475776,737600,48256,2560,29376
16:31:25,475776,737600,48256,2560,29376
16:31:35,475776,737600,48256,2560,29376
16:31:45,490624,1011904,48256,2560,29568
16:31:55,492096,1046848,48256,2560,29568
16:32:05,493120,1024576,48256,2560,29568
16:32:15,493952,1063872,48256,2560,29568
16:32:25,493760,1032256,48256,2560,29568
16:32:35,493760,1035840,48256,2560,29568
16:32:45,494016,897088,48256,2560,29568
16:32:55,494016,923712,48256,2560,29568
16:33:05,494016,942144,48256,2560,29568
16:33:15,494016,968768,48256,2560,29568
16:33:25,494016,1012800,48256,2560,29568
16:33:35,494016,1046592,48256,2560,29568
16:33:45,494016,1066048,48256,2560,29568
16:33:55,494016,1066048,48256,2560,29568
16:34:05,494016,1066048,48256,2560,29568
16:34:15,494016,1066048,48256,2560,29568
16:34:25,494016,1066048,48256,2560,29568
16:34:35,494016,1066048,48256,2560,29568
16:34:45,494016,1066048,48256,2560,29568
16:34:55,494016,1066048,48256,2560,29568
16:35:05,494016,1066048,48256,2560,29568
16:35:15,494016,1066048,48256,2560,29568
16:35:25,494016,1066048,48256,2560,29568
16:35:35,494016,1066048,48256,2560,29568
16:35:45,494016,1066048,48256,2560,29568
16:35:55,494016,1066048,48256,2560,29568
16:36:05,494016,1066048,48256,2560,29568
16:36:15,494016,1066048,48256,2560,29568
16:36:25,494016,1066048,48256,2560,29568
16:36:35,494016,1066048,48256,2560,29568
16:36:45,494016,1066048,48256,2560,29568
16:36:55,494016,1066048,48256,2560,29568
16:37:05,494016,1066048,48256,2560,29568
16:37:15,494016,1066048,48256,2560,29568
16:37:25,494016,1066048,48256,2560,29568
16:37:35,494016,1066048,48256,2560,29568
16:37:45,494016,1066048,48256,2560,29568
16:37:55,494016,1066048,48256,2560,29568
16:38:05,494016,1066048,48256,2560,29568
16:38:15,494016,1064256,48256,2560,29568
16:38:25,494016,1058624,48256,2560,29568
16:38:35,494016,1049920,48256,2560,29568
16:38:45,494016,1046080,48256,2560,29568
16:38:55,494016,1040448,48256,2560,29568
16:39:05,493952,1039168,48256,2560,29568
16:39:15,2304,4352,48256,2560,32128
16:39:25,2304,2304,48256,2560,32128
16:39:35,2304,2304,48256,2560,32128
16:39:45,2304,2304,48256,2560,32128
16:39:55,2304,2304,48256,2560,32128
16:40:05,2304,2304,48256,2560,32128
16:40:15,2304,2304,48256,2560,32128
16:40:25,2304,2304,48256,2560,32128
16:40:35,2304,2304,48256,2560,32128
16:40:45,2304,2304,48256,2560,32128
16:40:55,2304,2304,48256,2560,32128
16:41:05,2304,2304,48256,2560,32128
16:41:15,2304,2304,48256,2560,32128
16:41:25,2304,2304,48256,2560,32128
16:41:35,2304,2304,48256,2560,32128
16:41:45,2304,2304,48256,2560,32128
16:41:55,2304,2304,48256,2560,32128
16:42:05,2304,2304,48256,2560,32128
16:42:15,2304,2304,48256,2560,32128
16:42:25,2304,2304,48256,2560,32128
16:42:35,2304,2304,48256,2560,32128
16:42:45,2304,2304,48256,2560,32128
16:42:55,2304,2304,48256,2560,32128
16:43:05,2304,2304,48256,2560,32128
16:43:15,2304,2304,48256,2560,32128
16:43:26,2304,2304,48256,2560,32128
16:43:37,2304,2304,48256,2560,32128
16:43:48,2304,2304,48256,2560,32128
16:43:58,106560,525120,48256,2624,32128
16:44:09,99648,538880,48256,2752,32320
16:44:20,2304,2304,48256,2752,32320
16:44:30,2304,2304,48256,2752,32320
16:44:41,2304,2304,48256,2752,32320
16:44:52,2304,2304,48256,2752,32320
16:45:02,2304,2304,48256,2752,32320
16:45:12,2304,2304,48256,2752,32320
16:45:22,2304,2304,48256,2752,32320
16:45:33,2304,2304,48256,2752,32320
16:45:43,2304,2304,48256,2752,32320
16:45:54,2304,2304,48256,2752,32384
16:46:05,2304,2304,48256,2752,32384
16:46:16,2304,2304,48256,2752,32384
16:46:27,2304,2304,48256,2752,32384
16:46:38,2304,2304,48256,2752,32384
16:46:49,2304,2304,48256,2752,32384
16:47:00,2304,2304,48256,2752,32384
16:47:11,2304,2304,48256,2752,32384
16:47:22,2304,2304,48256,2752,32384
16:47:33,2368,2304,48256,2752,32384
16:47:45,2496,2560,48256,2816,32448
16:47:54,2496,2560,48256,2816,32448
16:48:05,2496,2304,48256,2816,32512
16:48:16,2496,2304,48256,2816,32512
16:48:27,2496,2304,48256,2816,32512
16:48:38,2624,2304,48256,2816,32512
16:48:49,2624,2304,48256,2816,32512
16:49:00,2624,2304,48256,2816,32512
16:49:10,13888,2304,48256,2816,32512
16:49:21,12864,2304,48256,2816,32512
16:49:32,12864,2304,48256,2816,32512
16:49:42,12864,2304,48256,2816,32512
16:49:53,12864,2304,48256,2816,32512
16:50:03,12864,2304,48256,2816,32512
16:50:13,12864,2304,48256,2816,32512
16:50:24,12864,2304,48256,2816,32512
16:50:35,12864,2304,48256,2816,32512
16:50:45,12864,2304,48256,2816,32512
16:50:56,12864,2304,48256,2816,32512
16:51:06,12864,2304,48256,2816,32512
16:51:16,12864,2304,48256,2816,32512
16:51:27,12864,2304,48256,2816,32512
16:51:37,12864,2304,48256,2816,32512
16:51:47,12864,2304,48256,2816,32512
16:51:58,12864,2304,48256,2816,32512
16:52:09,12864,2304,48256,2816,32512
16:52:20,12864,2304,48256,2816,32512
16:52:31,12864,2304,48256,2816,32512
16:52:42,12864,2304,48256,2816,32512
16:52:52,12864,2304,48256,2816,32512
16:53:02,12864,2304,48256,2816,32512
16:53:13,12864,2304,48256,2816,32512
16:53:24,12864,2304,48256,2816,32512
16:53:35,12864,2304,48256,2816,32512
16:53:46,12864,2304,48256,2816,32512
16:53:57,12864,2304,48256,2816,32512
16:54:08,12864,2304,48256,2816,32512
16:54:18,12864,2304,48256,2816,32512
16:54:29,12864,2304,48256,2816,32512
16:54:40,12864,2304,48256,2816,32512
16:54:51,12864,2304,48256,2816,32512
16:55:02,12864,2304,48256,2816,32512
16:55:13,12864,2304,48256,2816,32512
16:55:23,12864,2304,48256,2816,32512
16:55:34,12864,2304,48256,2816,32512
16:55:45,12864,2304,48256,2816,32512
16:55:56,12864,2304,48256,2816,32512
16:56:07,12864,2304,48256,2816,32512
16:56:17,12864,2304,48256,2816,32512
16:56:27,12864,2304,48256,2816,32512
16:56:37,12864,2304,48256,2816,32512
16:56:48,12864,2304,48256,2816,32512
16:56:59,12864,2304,48256,2816,32512
16:57:10,12864,2304,48256,2816,32512
16:57:21,12864,2304,48256,2816,32512
16:57:31,12864,2304,48256,2816,32512
16:57:42,12864,2304,48256,2816,32512
16:57:53,12864,2304,48256,2816,32512
16:58:04,12864,2304,48256,2816,32512
16:58:15,12864,2304,48256,2816,32512
16:58:25,12864,2304,48256,2816,32512
16:58:36,12864,2304,48256,2816,32512
16:58:47,12864,2304,48256,2816,32512
16:58:58,12864,2304,48256,2816,32512
16:59:09,12864,2304,48256,2816,32512
16:59:20,12864,2304,48256,2816,32512
16:59:31,12864,2304,48256,2816,32512
16:59:41,12864,2304,48256,2816,32512
16:59:52,12864,2304,48256,2816,32512
17:00:03,12864,2304,48256,2816,32512
17:00:14,12864,2304,48256,2816,32512
17:00:25,12864,2304,48256,2816,32512
17:00:36,12864,2304,48256,2816,32512
17:00:47,12864,2304,48256,2816,32512
17:00:58,12864,2304,48256,2816,32512
17:01:09,12864,2304,48256,2816,32512
17:01:20,12864,2304,48256,2816,32512
17:01:31,12864,2304,48256,2816,32512
17:01:41,12864,2304,48256,2816,32512
17:01:52,12864,2304,48256,2816,32512
17:02:03,12864,2304,48256,2816,32512
17:02:13,12864,2304,48256,2816,32512
17:02:24,12864,2304,48256,2816,32512
17:02:35,12864,2304,48256,2816,32512
17:02:46,12864,2304,48256,2816,32512
17:02:57,12864,2304,48256,2816,32512
17:03:08,12864,2304,48256,2816,32512
17:03:19,12864,2304,48256,2816,32512
17:03:30,12864,2304,48256,2816,32512
17:03:40,12864,2304,48256,2816,32512
17:03:51,12864,2304,48256,2816,32512
17:04:02,12864,2304,48256,2816,32512
17:04:12,12864,2304,48256,2816,32512
17:04:23,12864,2304,48256,2816,32512
17:04:34,12864,2304,48256,2816,32512
17:04:45,12864,2304,48256,2816,32512
17:04:56,12864,2304,48256,2816,32512
17:05:07,12864,2304,48256,2816,32512
17:05:18,12864,2304,48256,2816,32512
17:05:29,12864,2304,48256,2816,32512
17:05:40,12864,2304,48256,2816,32512
17:05:50,12864,2304,48256,2816,32512
17:06:01,12864,2304,48256,2816,32512
17:06:12,12864,2304,48256,2816,32512
17:06:22,12864,2304,48256,2816,32512
17:06:33,12864,2304,48256,2816,32256
17:06:44,12864,2304,48256,2816,32256
17:06:54,12864,2304,48256,2816,32256
17:07:05,12864,2304,48256,2816,32256
17:07:16,12864,2304,48256,2816,32256
17:07:27,12864,2304,48256,2816,32256
17:07:38,12864,2304,48256,2816,32256
17:07:49,12864,2304,48256,2816,32256
17:08:00,12864,2304,48256,2816,32256
17:08:11,12864,2304,48256,2816,32256
17:08:22,12864,2304,48256,2816,32256
17:08:33,12864,2304,48256,2816,32256
17:08:44,12864,2304,48256,2816,32256
17:08:55,12864,2304,48256,2816,32256
17:09:06,12864,2304,48256,2816,32256
17:09:17,12864,2304,48256,2816,32256
17:09:28,12864,2304,48256,2816,32256
17:09:38,12864,2304,48256,2816,32256
17:09:49,12864,2304,48256,2816,32256
17:10:00,115520,527808,48256,2816,32448
17:10:11,111680,541568,48256,2816,32448
17:10:22,12864,2304,48256,2944,32640
17:10:33,12864,2304,48256,2944,32640
17:10:44,12864,2304,48256,2944,32640
17:10:54,110016,575680,48256,2944,32448
17:11:05,185984,382656,48256,2944,32704
17:11:15,159424,964352,48256,3008,32576
17:11:26,110848,302208,48256,3072,32640
17:11:36,55488,131136,48256,3072,32640
17:11:46,177152,839808,48256,3136,32640
17:11:56,104896,486016,48256,3200,32640
17:12:06,178880,798464,48256,3200,32832
17:12:16,310464,1837760,48256,3200,32832
17:12:26,277696,1101120,48256,3264,32640
17:12:36,113600,343744,48256,3264,32640
17:12:46,133696,930816,48256,3328,32832
17:12:56,82048,333888,48256,3392,32832
17:13:06,48192,579456,48256,3456,32768
17:13:16,112704,227136,48256,3520,32768
17:13:26,182208,434432,48256,3520,32768
17:13:36,32192,586048,48256,3520,32768
17:13:46,36608,655360,48256,3520,32768
17:13:56,36864,611072,48256,3520,32768
17:14:06,36928,650496,48256,3520,32768
17:14:16,36992,662144,48256,3520,32768
17:14:26,37184,653696,48256,3520,32768
17:14:36,37376,641088,48256,3520,32768
17:14:46,37568,710976,48256,3520,32768
17:14:56,37632,687296,48256,3520,32768
17:15:06,37632,652288,48256,3520,32768
17:15:16,37632,657728,48256,3520,32768
17:15:26,37632,672064,48256,3520,32768
17:15:36,37696,679872,48256,3520,32768
17:15:46,37760,717632,48256,3520,32768
17:15:56,37824,692864,48256,3520,32768
17:16:07,37824,745984,48256,3520,32768
17:16:17,140928,386368,48256,3584,32768
17:16:28,93504,846016,48256,3648,32768
17:16:38,220800,1003712,48256,3648,32768
17:16:49,220800,1008832,48256,3648,32768
17:17:00,227840,1023168,48256,3648,32768
17:17:11,229120,1023168,48256,3648,32768
17:17:22,225280,1013952,48256,3648,32768
17:17:33,225280,1011904,48256,3648,32768
17:17:44,227776,1019072,48256,3648,32768
17:17:55,232576,1026240,48256,3648,32768
17:18:06,233216,1028288,48256,3648,32768
17:18:17,208896,1045184,48256,3648,32768
17:18:27,210368,977088,48256,3648,32768
17:18:38,211840,979136,48256,3648,32768
17:18:49,212864,978112,48256,3712,32768
17:18:59,212864,978112,48256,3712,32768
17:19:10,212864,978112,48256,3712,32768
17:19:20,213632,982208,48256,3712,32768
17:19:31,213632,980160,48256,3712,32768
17:19:42,213888,981184,48256,3712,32768
17:19:53,213888,982208,48256,3712,32768
17:20:04,214144,1049408,48256,3712,32768
17:20:15,214144,983232,48256,3712,32768
17:20:26,214144,983232,48256,3712,32768
17:20:37,214144,983232,48256,3712,32768
17:20:48,214144,983232,48256,3904,32896
17:20:59,215168,986304,48256,4096,32896
17:21:10,215424,987328,48256,4096,32896
17:21:21,215488,984256,48256,4352,32896
17:21:32,216128,890176,48256,4352,32896
17:21:43,216192,986304,48256,4352,32896
17:21:53,216256,986304,48256,4352,32896
17:22:04,216448,986304,48256,4352,32896
17:22:15,216512,986304,48256,4352,32896
