time,NODE1,NODE2,NODE3
2015-04-12 15:26:00.0,0.56,1.04,0.49
2015-04-12 15:27:00.0,0.55,1.07,0.5
2015-04-12 15:28:00.0,0.54,1.04,0.52
2015-04-12 15:29:00.0,0.58,1.05,0.51
2015-04-12 15:30:00.0,0.56,1.17,0.54
2015-04-12 15:31:00.0,0.55,1.13,0.49
2015-04-12 15:32:00.0,0.56,1.07,0.52
2015-04-12 15:33:00.0,0.57,1.1,0.53
2015-04-12 15:34:00.0,0.6,1.07,0.5
2015-04-12 15:35:00.0,0.58,1.07,0.51
2015-04-12 15:36:00.0,0.54,1.09,0.49
2015-04-12 15:37:00.0,0.56,1.1,0.48
2015-04-12 15:38:00.0,0.58,1.15,0.53
2015-04-12 15:39:00.0,0.58,1.06,0.51
2015-04-12 15:40:00.0,0.56,1.09,0.56
2015-04-12 15:41:00.0,0.57,1.06,0.49
2015-04-12 15:42:00.0,0.56,1.06,0.52
2015-04-12 15:43:00.0,0.56,1.07,0.49
2015-04-12 15:44:00.0,0.59,1.08,0.54
2015-04-12 15:45:00.0,0.57,1.08,0.5
2015-04-12 15:46:00.0,0.6,1.15,0.55
2015-04-12 15:47:00.0,0.51,1.22,0.53
2015-04-12 15:48:00.0,0.51,1.15,0.49
2015-04-12 15:49:00.0,0.58,1.15,0.58
2015-04-12 15:50:00.0,0.63,1.14,0.53
2015-04-12 15:51:00.0,0.59,1.9,0.49
2015-04-12 15:52:00.0,0.51,1.72,0.46
2015-04-12 15:53:00.0,0.5,1.07,0.52
2015-04-12 15:54:00.0,0.51,1.08,0.52
2015-04-12 15:55:00.0,0.51,1.1,0.49
2015-04-12 15:56:00.0,0.53,1.15,0.5
2015-04-12 15:57:00.0,0.49,1.08,0.49
2015-04-12 15:58:00.0,0.49,1.08,0.48
2015-04-12 15:59:00.0,0.53,1.09,0.51
2015-04-12 16:00:00.0,0.53,1.1,0.51
2015-04-12 16:01:00.0,0.52,1.09,0.53
2015-04-12 16:02:00.0,0.53,1.12,0.5
2015-04-12 16:03:00.0,0.52,1.15,0.53
2015-04-12 16:04:00.0,0.53,1.06,0.53
2015-04-12 16:05:00.0,0.51,1.08,0.52
2015-04-12 16:06:00.0,0.49,1.05,0.5
2015-04-12 16:07:00.0,0.52,1.1,0.5
2015-04-12 16:08:00.0,0.52,1.08,0.5
2015-04-12 16:09:00.0,0.52,1.07,0.51
2015-04-12 16:10:00.0,0.53,1.09,0.51
2015-04-12 16:11:00.0,0.52,1.08,0.54
2015-04-12 16:12:00.0,0.5,1.08,0.51
2015-04-12 16:13:00.0,0.5,1.07,0.49
2015-04-12 16:14:00.0,0.5,1.23,0.61
2015-04-12 16:15:00.0,0.56,1.19,0.56
2015-04-12 16:16:00.0,0.55,1.21,0.49
2015-04-12 16:17:00.0,0.5,1.19,0.49
2015-04-12 16:18:00.0,0.5,1.07,0.55
2015-04-12 16:19:00.0,0.49,1.11,0.5
2015-04-12 16:20:00.0,0.51,1.07,0.55
2015-04-12 16:21:00.0,0.49,1.11,0.5
2015-04-12 16:22:00.0,0.47,1.2,0.52
2015-04-12 16:23:00.0,0.52,1.07,0.48
2015-04-12 16:24:00.0,0.52,1.08,0.55
