TIME,NODE1,NODE2,NODE3
2015-04-13 10:02:00,0.66,1.31,0.66
2015-04-13 10:03:00,3.69,2.94,2.0
2015-04-13 10:04:00,0.66,1.27,0.91
2015-04-13 10:05:00,3.97,2.93,2.03
2015-04-13 10:06:00,37.33,36.34,46.37
2015-04-13 10:07:00,57.2,59.75,69.02
2015-04-13 10:08:00,59.58,61.5,68.38
2015-04-13 10:09:00,65.47,62.93,69.61
2015-04-13 10:10:00,64.24,65.12,65.29
2015-04-13 10:11:00,58.74,60.12,68.85
2015-04-13 10:12:00,12.48,11.53,13.61
2015-04-13 10:13:00,5.58,5.05,3.25
