TIME,DATABASE_MEMORY,DBHEAP,INSTANCE_MEMORY,LOCKLIST,PCKCACHESZ,SHEAPTHRES_SHR,SORTHEAP,STAT_HEAP_SZ,STMTHEAP,UTIL_HEAP_SZ
2015-02-10 19:21:47,0,0,0,14848,0,0,0,0,0,0
2015-02-10 19:24:47,0,0,0,14112,0,0,0,0,0,0
2015-02-10 19:27:47,0,0,0,13408,0,0,0,0,0,0
2015-02-10 19:30:47,0,0,0,12768,0,0,0,0,0,0
2015-02-10 19:33:47,0,0,0,12160,0,0,0,0,0,0
2015-02-10 19:36:48,0,0,0,11552,0,0,0,0,0,0
2015-02-10 19:45:53,0,0,0,0,0,0,0,0,0,0
2015-02-11 14:22:48,0,0,0,0,0,0,0,0,0,0
2015-02-11 14:24:53,5744496,0,0,4096,320,0,0,0,0,0
2015-02-11 14:25:25,5744640,0,0,0,0,0,0,0,0,0
2015-02-16 15:41:34,4909600,0,0,0,0,0,0,0,0,0
2015-02-16 15:42:49,0,0,0,0,0,0,0,0,0,1000000
2015-02-16 15:46:36,4423808,0,0,0,0,0,0,0,0,0
2015-02-16 15:47:13,0,0,0,0,0,0,0,0,0,2000000
2015-02-16 16:10:52,5523808,0,0,0,0,0,0,0,0,0
2015-03-16 18:40:54,5593333,0,0,6144,8192,0,0,0,0,0
2015-03-16 18:43:54,0,0,0,9216,0,0,0,0,0,0
2015-03-16 18:46:54,0,0,0,13824,0,0,0,0,0,0
2015-03-18 14:34:57,0,0,0,0,12288,0,0,0,0,0
2015-03-27 16:17:06,0,0,0,0,18432,0,0,0,0,0
2015-03-30 15:20:10,0,0,0,0,27648,0,0,0,0,0
2015-03-31 09:12:48,0,0,0,13152,0,0,0,0,0,0
2015-03-31 09:12:49,0,0,0,0,22144,0,0,0,0,0
2015-03-31 09:22:21,0,0,0,12512,0,0,0,0,0,0
2015-03-31 09:25:34,0,0,0,0,17728,0,0,0,0,0
2015-03-31 09:33:45,0,0,0,11904,0,0,0,0,0,0
2015-03-31 09:36:30,0,0,0,0,14208,0,0,0,0,0
2015-03-31 09:42:39,0,0,0,11328,0,0,0,0,0,0
2015-03-31 09:42:42,0,0,0,0,11392,0,0,0,0,0
2015-03-31 09:45:43,0,0,0,16992,0,0,0,0,0,0
2015-04-01 14:09:44,0,0,0,16160,9120,0,0,0,0,0
2015-03-27 16:17:06,0,0,0,0,18432,0,0,0,0,0
2015-03-30 15:20:10,0,0,0,0,27648,0,0,0,0,0
2015-03-31 09:12:48,0,0,0,13152,0,0,0,0,0,0
2015-03-31 09:12:49,0,0,0,0,22144,0,0,0,0,0
2015-03-31 09:22:21,0,0,0,12512,0,0,0,0,0,0
2015-03-31 09:25:34,0,0,0,0,17728,0,0,0,0,0
2015-03-31 09:33:45,0,0,0,11904,0,0,0,0,0,0
2015-03-31 09:36:30,0,0,0,0,14208,0,0,0,0,0
2015-03-31 09:42:39,0,0,0,11328,0,0,0,0,0,0
2015-03-31 09:42:42,0,0,0,0,11392,0,0,0,0,0
2015-03-31 09:45:43,0,0,0,16992,0,0,0,0,0,0
2015-04-01 14:09:44,0,0,0,16160,9120,0,0,0,0,0
